"Owning Library","Item Barcode","Shelving Location Name","Use Count","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Edit Date","Create Date"
"OCRL-DUBLN","31040000276005","YA","12","Stranger online","Smith, Carol 1961-","2000","YA SMIT",,,"13","1","25.00","2019-06-29","2004-05-24"
"OCRL-DUBLN","31040000276351","YA","5","Beast","Myers, Walter Dean 1937-2014","2003","YA MYER",,,"13","1","25.00","2019-06-29","2004-05-25"
"OCRL-DUBLN","31040000277128","JUV","19","Ballet school","Bray-Moffatt, Naia.","2003","J 792.8 BRAY","700","790","13","1","25.00","2019-06-29","2004-05-24"
"OCRL-DUBLN","31040000280387","JUV","24","Knights",,"1995","J 940.1 FIEL","900","940","13","1","25.00","2019-06-29","2004-05-25"
"OCRL-DUBLN","31040000280569","YA","20","Faerie wars","Brennan, Herbie","2003","YA BRE",,,"13","1","20.00","2019-06-29","2004-05-28"
"OCRL-DUBLN","31040000280718","YA","17","Sword of the rightful king : a novel of King Arthur","Yolen, Jane","2003","YA YOLE",,,"13","1","25.00","2019-06-29","2004-05-28"
"OCRL-DUBLN","31040000281922","YA","5","Varjak Paw","Said, S. F.","2003","YA SAID",,,"13","1","25.00","2019-06-29","2004-05-28"
"OCRL-DUBLN","31040000286400","NONFIC","36","The p[o]wer of a p[o]sitive w[o]man","Ladd, Karol","2002","248.843 LADD","200","240","13","1","25.00","2019-06-29","2004-06-08"
"OCRL-DUBLN","31040000289289","LG-PRNT","74","A tapestry of hope","Peterson, Tracie","2004","LP FIC PETE",,,"13","1","25.00","2019-06-29","2004-09-29"
"OCRL-DUBLN","31040000291772","FIC","22","Not a sparrow falls","Nichols, Linda 1954-","2002","FIC NICH",,,"13","1","25.00","2019-06-29","2004-09-16"
"OCRL-DUBLN","31040000293455","LG-PRNT","8","Boogers are my beat : more lies, but some actual journalism","Barry, Dave","2004","LP 814.54 BARR","800","810","13","1","25.00","2019-06-29","2004-09-20"
"OCRL-DUBLN","31040000294495","REF","0","Current biography yearbook.",,"1955","REF 920.03 CURR 2003","900","920","13","1","25.00","2019-06-29","2004-09-20"
"OCRL-DUBLN","31040000300995","YA","9","On the run","Coleman, Michael 1946 May 12-","2004","YA COLE",,,"13","1","25.00","2019-06-29","2005-02-14"
"OCRL-DUBLN","31040000306562","YA","4","Lizzie Bright and the Buckminster boy","Schmidt, Gary D.","2004","YA SCHM",,,"13","1","25.00","2019-06-29","2005-03-11"
"OCRL-DUBLN","31040000307388","YA","11","Alice on the outside","Naylor, Phyllis Reynolds","1999","YA NAYL",,,"13","1","25.00","2019-06-29","2005-03-22"
"OCRL-DUBLN","31040000322759","YA","6","The gifted kids' survival guide : a teen handbook","Galbraith, Judy","1996","YA 371.95 GALB","300","370","13","1","25.00","2019-06-29","2005-06-08"
"OCRL-DUBLN","31040000322817","YA","35","The au pairs : a novel","De la Cruz, Melissa 1971-","2004","YA DELA",,,"13","1","25.00","2019-06-29","2005-06-08"
"OCRL-DUBLN","31040000333806","YA","7","The cloud chamber","Maynard, Joyce 1953-","2005","YA MAYN",,,"13","1","25.00","2019-06-29","2005-07-29"
"OCRL-DUBLN","31040000337104","YA","9","Broken song","Lasky, Kathryn","2005","YA LASK",,,"13","1","25.00","2019-06-29","2005-08-08"
"OCRL-DUBLN","31040000337203","YA","6","Girl in Blue","Rinaldi, Ann","2001","YA RINA",,,"13","1","25.00","2019-06-29","2005-08-08"
"OCRL-DUBLN","31040000337583","YA","9","Premonitions","Watson, Jude","2004","YA WATS",,,"13","1","25.00","2019-06-29","2005-08-08"
"OCRL-DUBLN","31040000337682","YA","20","The pity party : 8th grade in the life of me, Cass","Pollet, Alison","2005","YA POLL",,,"13","1","25.00","2019-06-29","2005-08-08"
"OCRL-DUBLN","31040000337781","YA","9","The destiny of Linus Hoppe","Bondoux, Anne-Laure","2005","YA BOND",,,"13","1","25.00","2019-06-29","2005-08-08"
"OCRL-DUBLN","31040000339019","LG-PRNT","1","Crossing the threshold of hope","John Paul II, Pope 1920-2005","1995","282 JOHN PAUL","200","280","13","1","25.00","2019-06-29","2005-09-02"
"OCRL-DUBLN","31040000339118","LG-PRNT","0","Driving with confidence : a practical guide to driving with low vision","Peli, Eli.","2002","629.283 PELI","600","620","13","1","25.00","2019-06-29","2005-09-02"
"OCRL-DUBLN","31040000355551","YA","14","We beat the street : how a friendship pact helped us succeed","Davis, Sampson","2005","YA 610.922 DAVI","600","610","13","1","25.00","2019-06-29","2006-01-10"
"OCRL-DUBLN","31040000358068","NONFIC","6","How to Read the Bible : history, prophecy, literature-- why modern readers need to know the difference, and what it means for faith today","McKenzie, Steven L. 1953-","2005","220.6 MCKE","200","220","13","1","25.00","2019-06-29","2006-01-31"
"OCRL-DUBLN","31040000358258","NONFIC","20","The psychology of poker","Schoonmaker, Alan N. 1936-","2000","795.412 SCHO","700","790","13","1","25.00","2019-06-29","2006-02-02"
"OCRL-DUBLN","31040000359967","YA","22","Small steps","Sachar, Louis 1954-","2006","YA SACH",,,"13","1","25.00","2019-06-29","2006-02-09"
"OCRL-DUBLN","31040000432921","JUV","5","Spying on Miss Müller","Bunting, Eve 1928-","1995","J BUNT",,,"13","1","25.00","2019-06-29","2002-12-20"
"OCRL-DUBLN","31040000433994","YA","8","The clones","Skurzynski, Gloria","2002","YA SKUR",,,"13","1","25.00","2019-06-29","2003-01-02"
"OCRL-DUBLN","31040000434042","YA","14","The hunting of the last dragon","Jordan, Sherryl.","2002","YA JORD",,,"13","1","25.00","2019-06-29","2003-01-02"
"OCRL-DUBLN","31040000435841","YA","3","Zazoo","Mosher, Richard.","2001","YA MOSH",,,"13","1","25.00","2019-06-29","2003-01-14"
"OCRL-DUBLN","31040000436278","YA","9","Heir apparent","Vande Velde, Vivian","2002","YA VAND",,,"13","1","25.00","2019-06-29","2003-01-21"
"OCRL-DUBLN","31040000438712","YA","6","Secret sacrament","Jordan, Sherryl.","2000","YA JORD",,,"13","1","25.00","2019-06-29","2003-01-28"
"OCRL-DUBLN","31040000438761","YA","2","Playing with fire","Karr, Kathleen.","2001","YA KARR",,,"13","1","25.00","2019-06-29","2003-01-28"
"OCRL-DUBLN","31040000441682","LG-PRNT","53","Secret star","Roberts, Nora","2000","LP FIC ROBE",,,"13","1","25.00","2019-06-29","2003-02-11"
"OCRL-DUBLN","31040000445329","LG-PRNT","63","204 Rosewood Lane","Macomber, Debbie","2003","LP FIC MACO",,,"13","1","25.00","2019-06-29","2003-02-14"
"OCRL-DUBLN","31040000455302","YA","11","Son of the mob","Korman, Gordon","2002","YA KORM",,,"13","1","25.00","2019-06-29","2003-02-20"
"OCRL-DUBLN","31040000460559","JUV","4","The summer of Riley","Bunting, Eve 1928-","2001","J BUNT",,,"13","1","25.00","2019-06-29","2003-04-14"
"OCRL-DUBLN","31040000463389","LG-PRNT","2","Nothing is impossible : reflections on a new life","Reeve, Christopher 1952-2004","2003","LP 92 REEVE",,,"13","1","25.00","2019-06-29","2003-05-01"
"OCRL-DUBLN","31040000463736","LG-PRNT","37","Dead aim","Johansen, Iris.","2003","LP FIC JOHA",,,"13","1","25.00","2019-06-29","2003-05-02"
"OCRL-DUBLN","31040000464007","YA","6","Like sisters on the homefront","Williams-Garcia, Rita","1995","YA WILL",,,"13","1","25.00","2019-06-29","2007-07-02"
"OCRL-DUBLN","31040000464205","LG-PRNT","19","Encourage me","Swindoll, Charles R.","1987","LP 248.8 SWIN","200","240","13","1","25.00","2019-06-29","2003-05-02"
"OCRL-DUBLN","31040000465004","LG-PRNT","20","God came near : chronicles of the Christ","Lucado, Max.","1995","LP 232 LUCA","200","230","13","1","25.00","2019-06-29","2003-05-13"
"OCRL-DUBLN","31040000465509","LG-PRNT","6","Mars and Venus starting over : a practical guide for finding love again after a painful breakup, divorce, or the loss of a loved one","Gray, John 1951-","1998","LP 646.7 GRAY","600","640","13","1","25.00","2019-06-29","2003-05-13"
"OCRL-DUBLN","31040000466424","NONFIC","0","Lost black sheep : the search for World War II ace Chris Magee","Reed, Robert T. 1945-","2001","940.544 REED","900","940","13","1","25.00","2019-06-29","2003-05-21"
"OCRL-DUBLN","31040000469246","NONFIC","24","Passing the science graduation test in Georgia","Wesselmann, Dorothy Mallon.","2000","371.26 WESS","300","370","13","1","25.00","2019-06-29","2003-06-03"
"OCRL-DUBLN","31040000469345","NONFIC","21","Passing the science graduation test in Georgia","Wesselmann, Dorothy Mallon.","2000","371.26 WESS","300","370","13","1","25.00","2019-06-29","2005-01-14"
"OCRL-DUBLN","31040000469600","NONFIC","22","Passing the social studies graduation test in Georgia","Pintozzi, Devin.","2000","371.26 PINT","300","370","13","1","25.00","2019-06-29","2003-06-03"
"OCRL-DUBLN","31040000469642","NONFIC","31","Free money from the federal government for small businesses and entrepreneurs","Blum, Laurie","1996","658.15 BLUM","600","650","13","1","20.00","2019-06-29","2003-06-03"
"OCRL-DUBLN","31040000469873","REF","0","West's code of Georgia annotated.","Georgia","2003","REF GA 348.758 GEOR V.16","300","340","13","1","25.00","2019-06-29","2003-06-05"
"OCRL-DUBLN","31040000469964","REF","0","West's code of Georgia annotated.","Georgia","2003","REF GA 348.758 GEOR V.4","300","340","13","1","25.00","2019-06-29","2003-06-05"
"OCRL-DUBLN","31040000469972","REF","0","West's code of Georgia annotated.","Georgia","2003","REF GA 348.758 GEOR V.17","300","340","13","1","25.00","2019-06-29","2003-06-05"
"OCRL-DUBLN","31040000470012","REF","0","West's code of Georgia annotated.","Georgia","2003","REF GA 348.758 GEOR V.5","300","340","13","1","25.00","2019-06-29","2003-06-05"
