"Short (Policy) Name","Record ID","Record Creator Home Lib"
"OCRL-SOPER","16","CHAT-SMRVL"
"OCRL-SOPER","17","JCL-LVILLE"
"OCRL-SOPER","17","SRL-DOUG"
"OCRL-SOPER","19","FRRLS-GR"
"OCRL-SOPER","19","LOPL-BULL"
"OCRL-SOPER","20","OHOOP-VIDT"
"OCRL-SOPER","22","CPRL-R"
"OCRL-SOPER","22","LBRLS-LB"
"OCRL-SOPER","23","DTRL-CAMI"
"OCRL-SOPER","24","MOGL-SSI"
"OCRL-SOPER","24","ORLS-HDQ"
"OCRL-SOPER","25","HALL-GVL"
"OCRL-SOPER","29","HCLS-ST"
"OCRL-SOPER","29","TLLS-MV"
"OCRL-SOPER","31","MRLS-MRL"
"OCRL-SOPER","32","CRLS-DAWSN"
"OCRL-SOPER","36","THRL-LAG"
"OCRL-SOPER","38","RML-MAIN"
"OCRL-SOPER","40","PIED-JEF"
"OCRL-SOPER","47","CLAYTN-HQS"
"OCRL-SOPER","53","MCCLS-HQ"
"OCRL-SOPER","59","ARCPLS-MAIN"
"OCRL-SOPER","63","SGRL-VALDOSTA"
"OCRL-SOPER","64","NCLS-COVTN"
"OCRL-SOPER","68","STRL-SBORO"
"OCRL-SOPER","68","TCPLS-THOMAS"
"OCRL-SOPER","71","MGRL-WA"
"OCRL-SOPER","76","LEE-LSB"
"OCRL-SOPER","78","GCHR-CCO"
"OCRL-SOPER","80","NEG-CLRKVL"
"OCRL-SOPER","84","MGRL-RV"
"OCRL-SOPER","84","MOGL-BWK"
"OCRL-SOPER","84","OCRL-DUBLN"
"OCRL-SOPER","90","PIED-WIN"
"OCRL-SOPER","92","PMRLS-MPL"
"OCRL-SOPER","104","WGRL-HQ"
"OCRL-SOPER","110","KRLS-TE"
"OCRL-SOPER","112","SHRL-RM"
"OCRL-SOPER","178","HOU-PE"
"OCRL-SOPER","183","HCLS-MD"
"OCRL-SOPER","225","FRRLS-PT"
"OCRL-SOPER","248","SWGRL-DEC"
"OCRL-SOPER","335","DCPL-CEN"
"OCRL-SOPER","820","STATELIB-L"
"OCRL-SOPER","15271","PINES"
"OCRL-WRIGH","1","LEE-OAK"
"OCRL-WRIGH","1","PIED-MAY"
"OCRL-WRIGH","1","WGRL-BKM"
"OCRL-WRIGH","2","ECPL-ECPL"
"OCRL-WRIGH","2","MGRL-LA"
"OCRL-WRIGH","2","PIED-COM"
"OCRL-WRIGH","2","STATELIB-A"
"OCRL-WRIGH","4","ARL-ATH"
"OCRL-WRIGH","4","BROOK-HQ"
"OCRL-WRIGH","4","HART-HQ"
"OCRL-WRIGH","4","ROCK-NG"
"OCRL-WRIGH","5","CHRL-ROSS"
"OCRL-WRIGH","5","SGRL-HAHIRA"
"OCRL-WRIGH","5","WGRL-PC"
"OCRL-WRIGH","6","SJRLS-SCL"
"OCRL-WRIGH","7","NCLS-PORTER"
"OCRL-WRIGH","9","HCLS-HQS"
"OCRL-WRIGH","10","BTRL-MWL"
"OCRL-WRIGH","10","CHRL-LW"
"OCRL-WRIGH","11","KRLS-KI"
"OCRL-WRIGH","11","TRRLS-CAMDN"
"OCRL-WRIGH","11","WORTH-SYLV"
"OCRL-WRIGH","12","AZRLS-MA"
"OCRL-WRIGH","12","NEG-SYSTEM"
"OCRL-WRIGH","13","PPL-TPL"
"OCRL-WRIGH","14","OHOOP-VIDT"
"OCRL-WRIGH","14","TRRLS-HQ"
"OCRL-WRIGH","15","NGRL-DW"
"OCRL-WRIGH","16","LOPL-BULL"
"OCRL-WRIGH","16","THRL-HOG"
"OCRL-WRIGH","17","OKRL-WWC"
"OCRL-WRIGH","17","ORLS-HDQ"
"OCRL-WRIGH","17","SRL-DOUG"
"OCRL-WRIGH","18","JCL-LVILLE"
"OCRL-WRIGH","19","LBRLS-LB"
"OCRL-WRIGH","23","CHAT-SMRVL"
"OCRL-WRIGH","25","CPRL-R"
"OCRL-WRIGH","26","MOGL-SSI"
"OCRL-WRIGH","28","DTRL-CAMI"
"OCRL-WRIGH","31","FRRLS-GR"
"OCRL-WRIGH","32","TLLS-MV"
"OCRL-WRIGH","35","THRL-LAG"
"OCRL-WRIGH","37","HALL-GVL"
"OCRL-WRIGH","37","MCCLS-HQ"
"OCRL-WRIGH","39","HCLS-ST"
"OCRL-WRIGH","45","CRLS-DAWSN"
"OCRL-WRIGH","47","CLAYTN-HQS"
"OCRL-WRIGH","49","PIED-JEF"
"OCRL-WRIGH","49","RML-MAIN"
"OCRL-WRIGH","59","SGRL-VALDOSTA"
"OCRL-WRIGH","61","PMRLS-MPL"
"OCRL-WRIGH","66","MOGL-BWK"
"OCRL-WRIGH","67","TCPLS-THOMAS"
"OCRL-WRIGH","72","MRLS-MRL"
"OCRL-WRIGH","81","MGRL-WA"
"OCRL-WRIGH","83","LEE-LSB"
"OCRL-WRIGH","90","ARCPLS-MAIN"
"OCRL-WRIGH","93","NEG-CLRKVL"
"OCRL-WRIGH","100","OCRL-DUBLN"
"OCRL-WRIGH","104","STRL-SBORO"
"OCRL-WRIGH","110","PIED-WIN"
"OCRL-WRIGH","112","KRLS-TE"
"OCRL-WRIGH","116","NCLS-COVTN"
"OCRL-WRIGH","126","GCHR-CCO"
"OCRL-WRIGH","127","MGRL-RV"
"OCRL-WRIGH","154","WGRL-HQ"
"OCRL-WRIGH","157","HCLS-MD"
"OCRL-WRIGH","157","SHRL-RM"
"OCRL-WRIGH","269","SWGRL-DEC"
"OCRL-WRIGH","281","HOU-PE"
"OCRL-WRIGH","326","FRRLS-PT"
"OCRL-WRIGH","530","DCPL-CEN"
"OCRL-WRIGH","994","STATELIB-L"
"OCRL-WRIGH","12046","PINES"
,"1","BROOK-HQ"
,"1","BTRL-MWL"
,"1","CHRL-LW"
,"1","DCPL-CEN"
,"1","DTRL-BLAK"
,"1","GCHR-CCO"
,"1","MOGL-BWK"
,"1","PMRLS-MPL"
,"1","RML-MAIN"
,"1","SHRL-RM"
,"1","SWGRL-DEC"
,"1","TCPLS-THOMAS"
,"1","WGRL-BKM"
,"1","WORTH-SYLV"
,"2","FRRLS-PT"
,"3","CLAYTN-HQS"
,"3","LOPL-BULL"
,"3","TRRLS-HQ"
,"17","ARCPLS-MAIN"
,"45","STRL-SBORO"
