"Library Short (Policy) Name","Check Out Month","Circulation Modifier","Count"
"OCRL-SOPER","2019-11","audiobook","1"
"OCRL-SOPER","2019-11","book","290"
"OCRL-SOPER","2019-11","dvd-0","4"
"OCRL-SOPER","2019-11","dvd-2","40"
"OCRL-SOPER","2019-11",,"3"
"OCRL-SOPER","2019-12","audiobook","1"
"OCRL-SOPER","2019-12","book","224"
"OCRL-SOPER","2019-12","dvd-2","64"
"OCRL-SOPER","2019-12","statepass","1"
"OCRL-SOPER","2019-12",,"1"
"OCRL-SOPER","2020-01","audiobook","2"
"OCRL-SOPER","2020-01","book","315"
"OCRL-SOPER","2020-01","dvd-0","1"
"OCRL-SOPER","2020-01","dvd-2","39"
"OCRL-SOPER","2020-01",,"2"
"OCRL-SOPER","2020-02","book","301"
"OCRL-SOPER","2020-02","dvd-2","27"
"OCRL-SOPER","2020-02",,"5"
"OCRL-SOPER","2020-03","book","214"
"OCRL-SOPER","2020-03","dvd-2","4"
"OCRL-SOPER","2020-03",,"1"
"OCRL-SOPER","2020-04","book","18"
"OCRL-SOPER","2020-04",,"2"
"OCRL-SOPER","2020-05","book","7"
"OCRL-SOPER","2020-06","book","46"
"OCRL-WRIGH","2019-07","audiobook","4"
"OCRL-WRIGH","2019-07","book","1142"
"OCRL-WRIGH","2019-07","dvd-0","2"
"OCRL-WRIGH","2019-07","dvd-2","168"
"OCRL-WRIGH","2019-07","e-device","8"
"OCRL-WRIGH","2019-07","statepass","4"
"OCRL-WRIGH","2019-07",,"5"
"OCRL-WRIGH","2019-08","audiobook","7"
"OCRL-WRIGH","2019-08","book","551"
"OCRL-WRIGH","2019-08","dvd-0","1"
"OCRL-WRIGH","2019-08","dvd-2","109"
"OCRL-WRIGH","2019-08","e-device","1"
"OCRL-WRIGH","2019-09","audiobook","12"
"OCRL-WRIGH","2019-09","book","629"
"OCRL-WRIGH","2019-09","cd","3"
"OCRL-WRIGH","2019-09","dvd-2","123"
"OCRL-WRIGH","2019-09",,"15"
"OCRL-WRIGH","2019-10","audiobook","2"
"OCRL-WRIGH","2019-10","book","642"
"OCRL-WRIGH","2019-10","dvd-0","2"
"OCRL-WRIGH","2019-10","dvd-2","183"
"OCRL-WRIGH","2019-10","e-device","2"
"OCRL-WRIGH","2019-10","statepass","1"
"OCRL-WRIGH","2019-10",,"3"
"OCRL-WRIGH","2019-11","audiobook","1"
"OCRL-WRIGH","2019-11","book","367"
"OCRL-WRIGH","2019-11","dvd-0","1"
"OCRL-WRIGH","2019-11","dvd-2","159"
"OCRL-WRIGH","2019-11",,"1"
"OCRL-WRIGH","2019-12","audiobook","5"
"OCRL-WRIGH","2019-12","book","379"
"OCRL-WRIGH","2019-12","dvd-2","185"
"OCRL-WRIGH","2020-01","book","358"
"OCRL-WRIGH","2020-01","dvd-0","1"
"OCRL-WRIGH","2020-01","dvd-2","271"
"OCRL-WRIGH","2020-02","book","421"
"OCRL-WRIGH","2020-02","dvd-2","194"
"OCRL-WRIGH","2020-02","e-device","6"
"OCRL-WRIGH","2020-02",,"1"
"OCRL-WRIGH","2020-03","book","290"
"OCRL-WRIGH","2020-03","dvd-0","2"
"OCRL-WRIGH","2020-03","dvd-2","108"
"OCRL-WRIGH","2020-03",,"1"
"OCRL-WRIGH","2020-04","book","11"
"OCRL-WRIGH","2020-05","book","3"
"OCRL-WRIGH","2020-06","book","98"
"OCRL-WRIGH","2020-06","dvd-2","8"
"OCRL-WRIGH","2020-06",,"1"
