"Owning Library","Item Barcode","Use Count","Shelving Location Name","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Create Date","Edit Date"
"OCRL-DUBLN","31040001084499","0","JUV","Sinkholes","Black, Vanessa.","2017","J 551.447 BLAC","500","550","0","0","25.00","2018-07-05","2018-09-20"
"OCRL-DUBLN","31040001084515","2","JUV","The curse of the King","Lerangis, Peter","2015","J LERA",,,"0","0","25.00","2018-11-01","2019-06-07"
"OCRL-DUBLN","31040001084523","5","JUV","The colossus rises","Lerangis, Peter.","2013","J LERA",,,"1","0","25.00","2018-11-01","2019-06-17"
"OCRL-DUBLN","31040001084531","1","JUV","The truth as told by Mason Buttle","Connor, Leslie","2018","J CONN",,,"0","0","25.00","2018-11-01","2019-06-18"
"OCRL-DUBLN","31040001084549","2","JUV","King & Kayla and the case of the lost tooth","Butler, Dori Hillestad","2018","J BUTL",,,"6","0","25.00","2018-11-01","2019-06-25"
"OCRL-DUBLN","31040001084556","0","JUV","Watchdog","McIntosh, Will","2017","J MCIN",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001084564","0","JUV","How Oscar Indigo broke the universe : (and put it back together again)","Teague, David 1964-","2017","J TEAG",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001084572","4","JUV","The Terrible Two go wild","Barnett, Mac","2018","J BARN",,,"1","0","25.00","2018-11-01","2019-06-25"
"OCRL-DUBLN","31040001084580","5","JUV","The night diary","Hiranandani, Veera","2018","J HIRA",,,"1","0","25.00","2018-11-01","2019-06-25"
"OCRL-DUBLN","31040001084598","0","JUV","Shadow weaver","Connolly, MarcyKate","2018","J CONN",,,"0","0","25.00","2018-11-01","2018-11-05"
"OCRL-DUBLN","31040001171601","0","LG-PRNT","A discovery of witches","Harkness, Deborah E. 1965-","2011","LP FIC HARK",,,"0","0","25.00","2019-02-19","2019-04-16"
"OCRL-DUBLN","31040001268654","0","FIC","Even sinners have souls too",,"2009","FIC JOY",,,"0","0","25.00","2019-01-09","2019-04-16"
"OCRL-DUBLN","31040001424984","0","JUV","My daddy and I","Hallinan, P. K.","2002","BOARD BOOK",,,"0","0","5.00","2019-06-21","2019-06-25"
"OCRL-DUBLN","31040001425619","5","YA","Girls made of snow and glass","Bashardoust, Melissa","2017","YA BASH",,,"0","0","25.00","2018-07-25","2019-04-06"
"OCRL-DUBLN","31040001425627","8","YA","Thunderhead","Shusterman, Neal","2018","YA SHUS",,,"7","0","25.00","2018-07-25","2019-06-29"
"OCRL-DUBLN","31040001425635","0","YA","Too shattered for mending","Hoffmeister, Peter Brown.","2017","YA HOFF",,,"0","0","25.00","2018-07-25","2018-07-25"
"OCRL-DUBLN","31040001425643","6","YA","Caraval","Garber, Stephanie","2017","YA GARB",,,"0","0","25.00","2018-07-25","2019-05-13"
"OCRL-DUBLN","31040001425650","0","YA","The big lie","Mayhew, Julie","2017","YA MAYH",,,"0","0","25.00","2018-07-25","2018-07-25"
"OCRL-DUBLN","31040001425668","1","YA","Tool of war","Bacigalupi, Paolo","2017","YA BACI",,,"0","0","25.00","2018-07-25","2019-06-04"
"OCRL-DUBLN","31040001425676","4","YA","The sun is also a star","Yoon, Nicola","2016","YA YOON",,,"8","0","25.00","2018-07-25","2019-06-27"
"OCRL-DUBLN","31040001425684","2","YA","Down and across","Ahmadi, Arvin","2018","YA AHMA",,,"0","0","25.00","2018-07-25","2019-04-17"
"OCRL-DUBLN","31040001425692","0","YA","Tangled planet","Blair, Kate","2018","YA BLAI",,,"0","0","25.00","2018-07-25","2018-07-25"
"OCRL-DUBLN","31040001425700","2","YA","What happened to goodbye","Dessen, Sarah","2011","YA DESS",,,"1","0","25.00","2018-07-25","2019-06-26"
"OCRL-DUBLN","31040001425718","0","YA","Vesper : a deviants novel","Sampson, Jeff 1982-","2011","YA SAMP",,,"0","0","25.00","2018-07-25","2018-07-25"
"OCRL-DUBLN","31040001425726","0","YA","Ingenue","Larkin, Jillian.","2011","YA LARK",,,"0","0","25.00","2018-07-25","2018-07-25"
"OCRL-DUBLN","31040001425734","8","YA","Children of blood and bone","Adeyemi, Tomi","2018","YA ADEY",,,"1","0","25.00","2018-07-25","2019-06-29"
"OCRL-DUBLN","31040001425742","0","YA","La belle sauvage","Pullman, Philip 1946-","2017","YA PULL",,,"0","0","25.00","2018-07-25","2018-07-26"
"OCRL-DUBLN","31040001425759","1","YA","Jane, unlimited","Cashore, Kristin","2017","YA CASH",,,"0","0","25.00","2018-07-25","2018-10-22"
"OCRL-DUBLN","31040001425767","0","YA","Ringer : Gemma ; Ringer : Lyra","Oliver, Lauren 1982-","2017","YA OLIV",,,"0","0","25.00","2018-07-25","2018-07-26"
"OCRL-DUBLN","31040001425775","0","YA","Such wicked intent","Oppel, Kenneth 1967-","2012","YA OPPE",,,"0","0","25.00","2018-07-25","2018-07-26"
"OCRL-DUBLN","31040001425783","9","YA","The upside of unrequited","Albertalli, Becky","2017","YA ALBE",,,"7","0","25.00","2018-07-25","2019-06-29"
"OCRL-DUBLN","31040001425791","3","YA","The stars beneath our feet","Moore, David Barclay","2017","YA MOOR",,,"0","0","25.00","2018-07-25","2018-10-04"
"OCRL-DUBLN","31040001425809","7","Pop-Up Library","What to say next","Buxbaum, Julie","2017","YA BUXB",,,"7","0","25.00","2018-07-25","2019-06-29"
"OCRL-DUBLN","31040001425817","0","YA","When light left us","Thomas, Leah 1989-","2018","YA THOM",,,"0","0","25.00","2018-07-25","2018-07-26"
"OCRL-DUBLN","31040001425825","0","YA","You bring the distant near","Perkins, Mitali","2017","YA PERK",,,"0","0","25.00","2018-07-25","2018-07-26"
"OCRL-DUBLN","31040001425833","5","YA","The language of thorns : midnight tales and dangerous magic","Bardugo, Leigh","2017","YA BARD",,,"0","0","25.00","2018-07-25","2019-02-28"
"OCRL-DUBLN","31040001425858","4","YA","The nowhere girls","Reed, Amy Lynn","2017","YA REED",,,"0","0","25.00","2018-07-26","2019-06-18"
"OCRL-DUBLN","31040001425866","7","YA","The ship of the dead","Riordan, Rick","2017","YA RIOR",,,"0","0","25.00","2018-07-26","2019-04-25"
"OCRL-DUBLN","31040001425874","0","YA","The throne of fire","Riordan, Rick.","2011","YA RIOR",,,"0","0","25.00","2018-07-26","2018-07-30"
"OCRL-DUBLN","31040001425882","9","YA","Turtles all the way down","Green, John 1977-","2017","YA GREE",,,"1","0","25.00","2018-07-26","2019-06-26"
"OCRL-DUBLN","31040001425890","7","YA","Love, hate & other filters","Ahmed, Samira (Fiction writer)","2018","YA AHME",,,"1","0","25.00","2018-07-26","2019-06-18"
"OCRL-DUBLN","31040001425916","1","YA","How to hang a witch","Mather, Adriana","2016","YA MATH",,,"0","0","25.00","2018-07-26","2019-04-06"
"OCRL-DUBLN","31040001425924","0","YA","Dangerous deception","Garcia, Kami","2015","YA GARC",,,"0","0","25.00","2018-07-26","2018-07-30"
"OCRL-DUBLN","31040001425932","0","YA","The epic crush of Genie Lo","Yee, F. C.","2017","YA YEE",,,"0","0","25.00","2018-07-26","2018-07-30"
"OCRL-DUBLN","31040001425981","3","YA","The names they gave us","Lord, Emery","2017","YA LORD",,,"1","0","25.00","2018-07-26","2019-06-24"
"OCRL-DUBLN","31040001426385","13","FIC","Night moves","Kellerman, Jonathan","2018","FIC KELL",,,"0","0","25.00","2018-07-26","2019-02-04"
"OCRL-DUBLN","31040001427052","8","FIC","Varina : a novel","Frazier, Charles 1950-","2018","FIC FRAZ",,,"0","0","25.00","2018-07-31","2019-02-11"
"OCRL-DUBLN","31040001427060","14","FIC","White rose black forest","Dempsey, Eoin","2018","FIC DEMP",,,"0","0","25.00","2018-07-31","2019-06-24"
"OCRL-DUBLN","31040001427078","12","FIC","The forgotten road","Evans, Richard Paul","2018","FIC EVAN",,,"0","0","5.00","2018-07-31","2019-05-20"
"OCRL-DUBLN","31040001427086","16","FIC","The 17th suspect","Patterson, James 1947-","2018","FIC PATT",,,"0","0","5.00","2018-07-31","2019-03-28"
"OCRL-DUBLN","31040001427102","5","FIC","Lake Silence : the world of the Others","Bishop, Anne","2018","FIC BISH",,,"0","0","25.00","2018-07-31","2019-02-11"
"OCRL-DUBLN","31040001427110","12","FIC","The crooked staircase","Koontz, Dean R. (Dean Ray) 1945-","2018","FIC KOON",,,"0","0","5.00","2018-07-31","2019-04-13"
"OCRL-DUBLN","31040001427128","8","NONFIC","Bone music : a burning girl thriller","Rice, Christopher 1978-","2018","FIC RICE",,,"0","0","25.00","2018-07-31","2019-02-13"
"OCRL-DUBLN","31040001427136","11","FIC","True fiction : an Ian Ludlow thriller","Goldberg, Lee 1962-","2018","FIC GOLD",,,"0","0","25.00","2018-07-31","2019-02-12"
"OCRL-DUBLN","31040001427144","4","FIC","He : a novel","Connolly, John 1968-","2018","FIC CONN",,,"0","0","25.00","2018-07-31","2019-02-11"
"OCRL-DUBLN","31040001427151","5","FIC","Every note played : a novel","Genova, Lisa","2018","FIC GENO",,,"0","0","25.00","2018-07-31","2019-02-11"
"OCRL-DUBLN","31040001427169","6","FIC","Trespassing : a novel","Reeds, Brandi","2018","FIC REED",,,"0","0","5.00","2018-07-31","2019-05-06"
"OCRL-DUBLN","31040001427177","12","NONFIC","Murder in an Irish churchyard","O'Connor, Carlene","2018","FIC OCON",,,"0","0","25.00","2018-07-31","2019-02-13"
"OCRL-DUBLN","31040001427193","1","FIC","The sweet smell of magnolia and memories","McHale, Celeste Fletcher 1961-","2017","FIC MCHA",,,"1","0","25.00","2018-07-31","2019-06-18"
"OCRL-DUBLN","31040001427201","2","FIC","A time to stand","Whitlow, Robert 1954-","2017","FIC WHIT",,,"0","0","25.00","2018-07-31","2018-11-20"
"OCRL-DUBLN","31040001427219","10","FIC","Blind betrayal","Mehl, Nancy.","2018","FIC MEHL",,,"0","0","25.00","2018-07-31","2019-05-01"
"OCRL-DUBLN","31040001427235","0","AV","Rocket men : the daring odyssey of Apollo 8 and the astronauts who made man's first journey to the moon","Kurson, Robert","2018","CD 629.454 KURS","600","620","13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427243","0","AV","Endurance : a year in space, a lifetime of discovery","Kelly, Scott 1964-","2017","CD 92 KELL",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427250","0","AV","The female persuasion","Wolitzer, Meg","2018","CD FIC WOLI",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427268","3","AV","Shoot first","Woods, Stuart","2018","CD FIC WOOD",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427276","2","AV","The shape of water","Toro, Guillermo del 1964-","2018","CD FIC TORO",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427284","2","AV","The cast : a novel","Steel, Danielle","2018","CD FIC STEE",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427292","1","AV","After Anna","Scottoline, Lisa","2018","CD FIC SCOT",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427300","14","AV","Twisted prey","Sandford, John 1944 February 23-","2018","CD FIC SAND",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427318","5","AV","Secrets in death","Robb, J. D. 1950-","2017","CD FIC ROBB",,,"0","0","25.00","2018-08-01","2019-06-04"
"OCRL-DUBLN","31040001427326","8","AV","The 17th suspect","Patterson, James 1947-","2018","CD FIC PATT",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427334","1","AV","Circe","Miller, Madeline","2018","CD FIC MILL",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427342","0","AV","Getting to happy","McMillan, Terry.","2010","CD FIC MCMI",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427359","0","AV","Love and ruin : a novel","McLain, Paula","2018","CD FIC MCLA",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427367","0","AV","The twelve tribes of Hattie [a novel]","Mathis, Ayana.","2013","CD FIC MATH",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427375","3","AV","Killing season : a thriller","Kellerman, Faye","2017","CD FIC KELL",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427383","9","AV","To be where you are","Karon, Jan 1937-","2017","CD FIC KARO",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427391","3","AV","An American marriage : a novel","Jones, Tayari","2018","CD FIC JONE",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427409","8","AV","Shattered mirror","Johansen, Iris","2018","CD FIC JOHA",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427417","2","AV","Hold back the dark","Hooper, Kay","2018","CD FIC HOOP",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427425","2","AV","Alter ego","Freeman, Brian 1963-","2018","CD FIC FREE",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427433","3","AV","The forgotten road","Evans, Richard Paul","2018","CD FIC EVAN",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427441","6","AV","The cutting edge : a Lincoln Rhyme novel","Deaver, Jeffery","2018","CD FIC DEAV",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427458","7","AV","Don't let go","Coben, Harlan 1962-","2017","CD FIC COBE",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427466","6","AV","Overkill : an Alex Hawke novel","Bell, Ted","2018","CD FIC BELL",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427474","2","AV","The sellout : a novel","Beatty, Paul.","2016","CD FIC BEAT",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427482","1","AV","Robert B. Parker's old black magic : a Spenser novel","Atkins, Ace","2018","CD FIC ATKI",,,"13","1","25.00","2018-08-01","2019-06-29"
"OCRL-DUBLN","31040001427490","3","JUV","The hunchback of Notre Dame",,"2002","DVD J HUNC j#229","200","220","1","0","25.00","2018-08-01","2019-02-05"
"OCRL-DUBLN","31040001428514","6","LG-PRNT","A wedding on Bluebird Way",,"2018","LP FIC WEDD",,,"0","0","25.00","2018-08-20","2019-06-07"
"OCRL-DUBLN","31040001428522","10","NONFIC","Indianapolis : the true story of the worst sea disaster in U.S. naval history and the fifty-year fight to exonerate an innocent man","Vincent, Lynn","2018","940.5426 VINC","900","940","0","0","25.00","2018-08-20","2019-04-03"
"OCRL-DUBLN","31040001428530","1","LEASE","Wanna bet? : a degenerate gambler's guide to living on the edge","Lange, Artie 1967-","2018","792.7028 LANG","700","790","13","1","25.00","2018-08-20","2019-06-29"
"OCRL-DUBLN","31040001428548","5","LEASE","Born to be Wilde","James, Eloisa","2018","FIC JAME",,,"13","1","25.00","2018-08-21","2019-06-29"
"OCRL-DUBLN","31040001428563","0","LEASE","Outside the wire : ten lessons I've learned in everyday courage","Kander, Jason","2018","179.6 KAND","100","170","13","1","25.00","2018-08-21","2019-06-29"
"OCRL-DUBLN","31040001428571","12","LEASE","Murder at the mansion","Connolly, Sheila","2018","FIC CONN",,,"13","1","25.00","2018-08-21","2019-06-29"
"OCRL-DUBLN","31040001428589","4","LEASE","Give me your hand","Abbott, Megan E. 1971-","2018","FIC ABBO",,,"13","1","25.00","2018-08-21","2019-06-29"
"OCRL-DUBLN","31040001428597","0","LEASE","My diarrhe","Sings, Miranda","2018","817 SING","800","810","13","1","25.00","2018-08-21","2019-06-29"
"OCRL-DUBLN","31040001428605","12","JUV","Catch that crook!","Hitchcock, Laura 1959-","2018","E HITC",,,"1","0","25.00","2018-08-21","2019-06-20"
"OCRL-DUBLN","31040001428613","11","JUV","Too many cupcakes!","Lewman, David","2018","E LEWM",,,"0","0","25.00","2018-08-21","2019-06-26"
"OCRL-DUBLN","31040001428621","0","JUV","The elf on the shelf : a Christmas tradition","Aebersold, Carol V.","2011","E AEBE - No Elf with volume",,,"0","0","25.00","2018-08-21","2018-12-11"
"OCRL-DUBLN","31040001428670","0","WESTERN","The contractor","Work, James C.","2016","WES WORK",,,"0","0","25.00","2018-08-21","2018-08-21"
"OCRL-DUBLN","31040001428688","0","WESTERN","The Big Empty","Jones, Jim 1950-","2016","WES JONE",,,"0","0","25.00","2018-08-21","2018-08-21"
"OCRL-DUBLN","31040001428704","10","LG-PRNT","Her mother's hope","Rivers, Francine 1947-","2011","LP FIC RIVE",,,"0","0","25.00","2018-08-21","2019-06-25"
"OCRL-DUBLN","31040001428712","5","LG-PRNT","Chasing down a dream","Jenkins, Beverly 1951-","2017","LP FIC JENK",,,"0","0","25.00","2018-08-21","2019-03-04"
"OCRL-DUBLN","31040001428720","7","LG-PRNT","Breathless","Jenkins, Beverly 1951-","2017","LP FIC JENK",,,"0","0","25.00","2018-08-21","2019-06-26"
"OCRL-DUBLN","31040001428738","4","FIC","Her daughter's dream","Rivers, Francine 1947-","2010","FIC RIVE",,,"0","0","25.00","2018-08-21","2019-05-15"
"OCRL-DUBLN","31040001428746","1","FIC","Capone & Capri : a bad boy romance","Watkins, Jessica N.","2015","FIC WATK",,,"0","0","25.00","2018-08-21","2019-01-22"
"OCRL-DUBLN","31040001428753","3","FIC","A thug's love 2","Watkins, Jessica N.","2015","FIC WATK",,,"0","0","25.00","2018-08-21","2019-06-20"
"OCRL-DUBLN","31040001428761","1","FIC","A thug's love 3","Watkins, Jessica N.","2016","FIC WATK",,,"0","0","25.00","2018-08-21","2019-01-22"
"OCRL-DUBLN","31040001428779","2","FIC","A thug's love","Watkins, Jessica N.","2015","FIC WATK",,,"0","0","25.00","2018-08-21","2019-05-31"
